"ResidentID","HouseholdBookID","IDIssueDate","IDIssuePlace","FullName","Alias","DateOfBirth","PlaceOfBirth","Hometown","Ethnicity","Occupation","Workplace","PermanentRegistrationDate","PermanentResidentAddress","IsDead"
"00000000253","000000150","2023-02-03","Cục cảnh sát quản lý về trật tự xã hội","Phùng Dung",,"1956-06-08","Thái Bình","Vĩnh Phúc","Hoa",,,"1988-11-15","0708 Đức Views, Hà Giang, LA EG 3TZ","false"
"00000000254","000000151","2022-08-28","Cục cảnh sát quản lý về trật tự xã hội","Bùi Thi Mai",,"1982-06-23","Lào Cai","Bắc Giang","Mường",,,"1993-04-23","676 Đoàn Road, An Giang, KY Z32  5AB","false"
"00000000255","000000152","2023-08-10","Cục cảnh sát quản lý về trật tự xã hội","Như Tyson",,"1966-01-06","Cao Bằng","TP Cần Thơ","Gia Rai",,,"2010-09-24","Số 153 tổ dân phố 7 phường La Khê","false"
"00000000256","000000152","2024-05-27","Cục cảnh sát quản lý về trật tự xã hội","Như Hoàng",,"1988-10-29","Hà Nội","Hà Nội","Gia Rai",,,"2017-12-17","Số 153 tổ dân phố 7 phường La Khê","false"
"00000000257","000000153","2024-04-05","Cục cảnh sát quản lý về trật tự xã hội","Mai Hà Tâm",,"1950-07-05","Bình Dương","Long An","Thái",,,"1962-08-26","Apt. 173 9743 Lý Parkways, Đồng Nai, NV L72 2WR","false"
"00000000258","000000154","2023-11-28","Cục cảnh sát quản lý về trật tự xã hội","Đỗ Đặng Thảo Phú",,"1962-02-02","Lào Cai","Điện Biên","Dao",,,"1989-08-21","5136 Tiến Square, Gia Lai, MN 4Y  2ZB","false"
"00000000259","000000155","2024-08-29","Cục cảnh sát quản lý về trật tự xã hội","Đinh Kim Tiến",,"1958-06-25","Hà Giang","Lâm Đồng","Hoa",,,"2013-05-24","Suite 231 3379 Nguyễn Inlet, Bà Rịa Vũng Tàu, AK U3Y 3WA","false"
"00000000260","000000156","2022-04-19","Cục cảnh sát quản lý về trật tự xã hội","Đỗ Dung",,"1965-01-11","TP Đà Nẵng","TP TP. Hồ Chí Minh","Tày",,,"1973-09-28","Suite 673 6901 Đinh Key, Lâm Đồng, AL KO8  8LN","false"
"00000000261","000000157","2024-06-02","Cục cảnh sát quản lý về trật tự xã hội","Long Rudy",,"1997-08-22","Vĩnh Long","Sơn La","Tày",,,"2020-11-21","Số 158 tổ dân phố 7 phường La Khê","false"
"00000000262","000000157","2023-09-16","Cục cảnh sát quản lý về trật tự xã hội","Đức Tia",,"1998-04-04","Phú Yên","Lai Châu","Thái",,,"2022-08-10","Số 158 tổ dân phố 7 phường La Khê","false"
"00000000263","000000158","2023-06-30","Cục cảnh sát quản lý về trật tự xã hội","Dương Alejandro",,"1990-08-26","Lào Cai","Nam Định","Nùng",,,"1999-04-08","Số 159 tổ dân phố 7 phường La Khê","false"
"00000000264","000000158","2024-02-23","Cục cảnh sát quản lý về trật tự xã hội","Dương Vũ",,"2011-07-01","Hà Nội","Hà Nội","Nùng",,,"2017-07-09","Số 159 tổ dân phố 7 phường La Khê","false"
"00000000265","000000158","2022-01-22","Cục cảnh sát quản lý về trật tự xã hội","Dương Phùng",,"2012-06-28","Hà Nội","Hà Nội","Nùng",,,"2023-06-21","Số 159 tổ dân phố 7 phường La Khê","false"
"00000000266","000000159","2022-11-01","Cục cảnh sát quản lý về trật tự xã hội","Vân Craig",,"1981-09-06","Vĩnh Phúc","Bình Định","Kinh",,,"2024-11-05","Số 160 tổ dân phố 7 phường La Khê","false"
"00000000267","000000160","2024-02-09","Cục cảnh sát quản lý về trật tự xã hội","Tô Khang",,"1965-06-10","Thái Bình","Bà Rịa Vũng Tàu","Hoa",,,"1998-11-02","075 Lâm Knolls, Kon Tum, CT 63  9WY","false"
"00000000268","000000161","2022-05-21","Cục cảnh sát quản lý về trật tự xã hội","Lê Gustavo",,"1985-09-20","Kiên Giang","Thừa Thiên Huế","Hoa",,,"2005-08-02","Số 162 tổ dân phố 7 phường La Khê","false"
"00000000269","000000161","2022-02-09","Cục cảnh sát quản lý về trật tự xã hội","Dương Sarita",,"1985-12-29","Vĩnh Long","Tây Ninh","Hoa",,,"2006-03-30","Số 162 tổ dân phố 7 phường La Khê","false"
"00000000270","000000162","2023-11-04","Cục cảnh sát quản lý về trật tự xã hội","Hồ Sinh Trương",,"1950-03-24","Bạc Liêu","TP Cần Thơ","Kinh",,,"2020-08-27","Apt. 475 167 Hồ Rapids, Quảng Bình, IL YFX 2XL","false"
"00000000271","000000163","2024-09-28","Cục cảnh sát quản lý về trật tự xã hội","Tăng Vinh Thi",,"1982-06-12","Hà Tĩnh","Bình Thuận","Gia Rai",,,"2009-02-10","Apt. 322 1526 Hà Knolls, Cà Mau, AZ 0T3 6FH","false"
"00000000272","000000164","2022-02-13","Cục cảnh sát quản lý về trật tự xã hội","Bửu Willie",,"1975-04-24","Khánh Hòa","Cà Mau","Nùng",,,"2023-09-25","Số 165 tổ dân phố 7 phường La Khê","false"
"00000000273","000000164","2024-10-23","Cục cảnh sát quản lý về trật tự xã hội","Bửu Tyesha",,"1975-07-09","Bình Phước","Hậu Giang","Tày",,,"2024-11-05","Số 165 tổ dân phố 7 phường La Khê","true"
"00000000274","000000164","2023-04-21","Cục cảnh sát quản lý về trật tự xã hội","Bửu Lê",,"1995-08-16","Hà Nội","Hà Nội","Nùng",,,"2024-11-08","Số 165 tổ dân phố 7 phường La Khê","false"
"00000000275","000000164","2022-03-16","Cục cảnh sát quản lý về trật tự xã hội","Bửu Vũ",,"1995-11-13","Hà Nội","Hà Nội","Nùng",,,"2024-11-15","Số 165 tổ dân phố 7 phường La Khê","false"
"00000000276","000000165","2023-04-24","Cục cảnh sát quản lý về trật tự xã hội","Thu Rico",,"1969-03-12","Kiên Giang","TP Hải Phòng","Nùng",,,"2014-07-07","Số 166 tổ dân phố 7 phường La Khê","false"
"00000000277","000000166","2023-03-12","Cục cảnh sát quản lý về trật tự xã hội","Kha Mac",,"1980-06-29","Bạc Liêu","Vĩnh Phúc","Nùng",,,"1998-11-01","Số 167 tổ dân phố 7 phường La Khê","false"
"00000000278","000000166","2024-09-23","Cục cảnh sát quản lý về trật tự xã hội","Đức Morgan",,"1981-04-29","Kiên Giang","Gia Lai","Tày",,,"2016-12-28","Số 167 tổ dân phố 7 phường La Khê","false"
"00000000279","000000166","2023-05-08","Cục cảnh sát quản lý về trật tự xã hội","Kha Tăng",,"2002-11-01","Hà Nội","Hà Nội","Nùng",,,"2024-06-29","Số 167 tổ dân phố 7 phường La Khê","false"
"00000000280","000000167","2022-10-18","Cục cảnh sát quản lý về trật tự xã hội","Trung Hai",,"1957-05-24","Lai Châu","Long An","Gia Rai",,,"2004-04-04","Số 168 tổ dân phố 7 phường La Khê","false"
"00000000281","000000167","2024-09-13","Cục cảnh sát quản lý về trật tự xã hội","Hải Jolanda",,"1957-09-16","Quảng Bình","Thái Nguyên","H'Mông",,,"2021-04-04","Số 168 tổ dân phố 7 phường La Khê","false"
"00000000282","000000168","2023-03-30","Cục cảnh sát quản lý về trật tự xã hội","Tô Charles",,"1999-11-27","Khánh Hòa","Hà Tĩnh","Mường",,,"2021-12-12","Số 169 tổ dân phố 7 phường La Khê","false"
"00000000283","000000168","2022-01-05","Cục cảnh sát quản lý về trật tự xã hội","Thi Christy",,"2000-11-05","Sơn La","TP Đà Nẵng","Khmer",,,"2022-07-14","Số 169 tổ dân phố 7 phường La Khê","false"
"00000000284","000000168","2023-03-15","Cục cảnh sát quản lý về trật tự xã hội","Tô Vương",,"2023-03-15","Hà Nội","Hà Nội","Mường",,,"2023-03-30","Số 169 tổ dân phố 7 phường La Khê","false"
"00000000285","000000168","2023-09-18","Cục cảnh sát quản lý về trật tự xã hội","Tô Trịnh",,"2023-09-18","Hà Nội","Hà Nội","Mường",,,"2024-03-10","Số 169 tổ dân phố 7 phường La Khê","false"
"00000000286","000000169","2022-10-07","Cục cảnh sát quản lý về trật tự xã hội","Dương Earnest",,"1962-09-01","Tây Ninh","Hòa Bình","Dao",,,"2023-05-25","Số 170 tổ dân phố 7 phường La Khê","false"
"00000000287","000000169","2022-12-26","Cục cảnh sát quản lý về trật tự xã hội","Dương Hà",,"1986-08-10","Hà Nội","Hà Nội","Dao",,,"2023-07-12","Số 170 tổ dân phố 7 phường La Khê","false"
"00000000288","000000170","2022-07-05","Cục cảnh sát quản lý về trật tự xã hội","Phan Ed",,"1979-05-07","Quảng Ngãi","Sóc Trăng","Hoa",,,"2016-10-28","Số 171 tổ dân phố 7 phường La Khê","false"
"00000000289","000000170","2024-09-29","Cục cảnh sát quản lý về trật tự xã hội","Phan Lâm",,"2001-12-13","Hà Nội","Hà Nội","Hoa",,,"2024-11-17","Số 171 tổ dân phố 7 phường La Khê","true"
"00000000290","000000171","2022-08-26","Cục cảnh sát quản lý về trật tự xã hội","Trung Brad",,"1999-04-23","Kiên Giang","Bà Rịa Vũng Tàu","Hoa",,,"2006-06-14","Số 172 tổ dân phố 7 phường La Khê","false"
"00000000291","000000171","2023-07-15","Cục cảnh sát quản lý về trật tự xã hội","Thủy Hui",,"1999-09-27","Vĩnh Phúc","Bình Định","H'Mông",,,"2018-12-13","Số 172 tổ dân phố 7 phường La Khê","false"
"00000000292","000000171","2022-10-14","Cục cảnh sát quản lý về trật tự xã hội","Trung Ngô",,"2022-10-14","Hà Nội","Hà Nội","Hoa",,,"2024-09-13","Số 172 tổ dân phố 7 phường La Khê","false"
"00000000293","000000172","2024-01-25","Cục cảnh sát quản lý về trật tự xã hội","Như Lucius",,"1997-03-17","Thái Bình","Tây Ninh","Kinh",,,"2024-02-02","Số 173 tổ dân phố 7 phường La Khê","false"
"00000000294","000000173","2023-10-09","Cục cảnh sát quản lý về trật tự xã hội","Thu Karl",,"1990-09-07","Kon Tum","TP Cần Thơ","Tày",,,"2016-10-10","Số 174 tổ dân phố 7 phường La Khê","false"
"00000000295","000000174","2023-04-04","Cục cảnh sát quản lý về trật tự xã hội","Trịnh Rodrick",,"1999-10-08","Thanh Hóa","Vĩnh Phúc","H'Mông",,,"2005-07-17","Số 175 tổ dân phố 7 phường La Khê","false"
"00000000296","000000174","2024-06-08","Cục cảnh sát quản lý về trật tự xã hội","Hữu Peggy",,"1999-11-09","Hà Tĩnh","Quảng Trị","Hoa",,,"2020-02-17","Số 175 tổ dân phố 7 phường La Khê","false"
"00000000297","000000174","2024-12-26","Cục cảnh sát quản lý về trật tự xã hội","Trịnh Phạm",,"2020-02-01","Hà Nội","Hà Nội","H'Mông",,,"2023-07-02","Số 175 tổ dân phố 7 phường La Khê","true"
"00000000298","000000175","2024-04-13","Cục cảnh sát quản lý về trật tự xã hội","Tăng Booker",,"1988-10-25","Khánh Hòa","Trà Vinh","Hoa",,,"2022-01-05","Số 176 tổ dân phố 7 phường La Khê","false"
"00000000299","000000175","2022-03-14","Cục cảnh sát quản lý về trật tự xã hội","Sa Dell",,"1989-04-28","Phú Yên","Bình Dương","Ê Đê",,,"2024-11-12","Số 176 tổ dân phố 7 phường La Khê","false"
"00000000300","000000175","2023-02-26","Cục cảnh sát quản lý về trật tự xã hội","Tăng Đỗ",,"2009-10-01","Hà Nội","Hà Nội","Hoa",,,"2024-12-19","Số 176 tổ dân phố 7 phường La Khê","false"
"00000000301","000000176","2022-12-18","Cục cảnh sát quản lý về trật tự xã hội","Thắng Cody",,"1975-02-03","Thanh Hóa","Quảng Nam","Thái",,,"2014-07-31","Số 177 tổ dân phố 7 phường La Khê","false"
"00000000302","000000177","2024-11-22","Cục cảnh sát quản lý về trật tự xã hội","Quốc Long",,"1976-10-12","Kiên Giang","Hưng Yên","Thái",,,"2004-12-15","Số 178 tổ dân phố 7 phường La Khê","false"
"00000000303","000000177","2023-03-20","Cục cảnh sát quản lý về trật tự xã hội","Thu Oliva",,"1977-07-03","Vĩnh Long","Hưng Yên","Nùng",,,"2024-01-10","Số 178 tổ dân phố 7 phường La Khê","false"
"00000000304","000000178","2022-12-27","Cục cảnh sát quản lý về trật tự xã hội","Thu Harry",,"1994-01-08","An Giang","Kon Tum","Ê Đê",,,"2009-09-15","Số 179 tổ dân phố 7 phường La Khê","false"
"00000000305","000000178","2024-01-15","Cục cảnh sát quản lý về trật tự xã hội","Thu Đinh",,"2016-04-01","Hà Nội","Hà Nội","Ê Đê",,,"2016-05-23","Số 179 tổ dân phố 7 phường La Khê","false"
"00000000306","000000179","2024-12-25","Cục cảnh sát quản lý về trật tự xã hội","Trinh Jarvis",,"1958-05-07","Vĩnh Long","Quảng Nam","Thái",,,"2006-03-11","Số 180 tổ dân phố 7 phường La Khê","false"
"00000000307","000000179","2023-10-22","Cục cảnh sát quản lý về trật tự xã hội","Trinh Hà",,"1981-05-13","Hà Nội","Hà Nội","Thái",,,"2020-05-12","Số 180 tổ dân phố 7 phường La Khê","false"
"00000000308","000000179","2022-01-07","Cục cảnh sát quản lý về trật tự xã hội","Trinh Tăng",,"1980-05-19","Hà Nội","Hà Nội","Thái",,,"2024-01-02","Số 180 tổ dân phố 7 phường La Khê","false"
"00000000309","000000180","2022-08-19","Cục cảnh sát quản lý về trật tự xã hội","Thắm Alphonso",,"1978-09-19","Cà Mau","Trà Vinh","Kinh",,,"2007-06-14","Số 181 tổ dân phố 7 phường La Khê","false"
"00000000310","000000180","2024-09-27","Cục cảnh sát quản lý về trật tự xã hội","Mai Laticia",,"1979-03-09","Thái Nguyên","Kon Tum","H'Mông",,,"2021-03-23","Số 181 tổ dân phố 7 phường La Khê","true"
"00000000311","000000181","2023-05-18","Cục cảnh sát quản lý về trật tự xã hội","Thanh Boris",,"1950-10-04","Vĩnh Phúc","Đồng Tháp","H'Mông",,,"2022-05-19","Số 182 tổ dân phố 7 phường La Khê","false"
"00000000312","000000181","2022-03-02","Cục cảnh sát quản lý về trật tự xã hội","Đặng Shawnta",,"1951-01-16","Bạc Liêu","Hà Nam","Mường",,,"2022-11-30","Số 182 tổ dân phố 7 phường La Khê","false"
"00000000313","000000181","2023-05-16","Cục cảnh sát quản lý về trật tự xã hội","Thanh Đỗ",,"1973-12-14","Hà Nội","Hà Nội","H'Mông",,,"2024-12-08","Số 182 tổ dân phố 7 phường La Khê","false"
"00000000314","000000181","2022-05-17","Cục cảnh sát quản lý về trật tự xã hội","Thanh Tăng",,"1973-12-09","Hà Nội","Hà Nội","H'Mông",,,"2024-12-25","Số 182 tổ dân phố 7 phường La Khê","false"
"00000000315","000000182","2023-04-05","Cục cảnh sát quản lý về trật tự xã hội","Thị Adolfo",,"1955-12-07","Thái Nguyên","Ninh Bình","Ê Đê",,,"2015-06-05","Số 183 tổ dân phố 7 phường La Khê","false"
"00000000316","000000182","2022-07-21","Cục cảnh sát quản lý về trật tự xã hội","Thị Hà",,"1976-07-31","Hà Nội","Hà Nội","Ê Đê",,,"2022-01-07","Số 183 tổ dân phố 7 phường La Khê","false"
"00000000317","000000183","2022-03-10","Cục cảnh sát quản lý về trật tự xã hội","Tăng Herbert",,"1958-01-09","Thanh Hóa","Bắc Giang","H'Mông",,,"2023-12-16","Số 184 tổ dân phố 7 phường La Khê","false"
"00000000318","000000183","2024-09-11","Cục cảnh sát quản lý về trật tự xã hội","Tăng Hà",,"1980-01-19","Hà Nội","Hà Nội","H'Mông",,,"2024-12-18","Số 184 tổ dân phố 7 phường La Khê","false"
"00000000319","000000183","2023-09-12","Cục cảnh sát quản lý về trật tự xã hội","Tăng Phùng",,"1981-02-24","Hà Nội","Hà Nội","H'Mông",,,"2024-12-28","Số 184 tổ dân phố 7 phường La Khê","false"
"00000000320","000000184","2022-06-12","Cục cảnh sát quản lý về trật tự xã hội","Thi Josef",,"1964-07-20","Nam Định","Lào Cai","H'Mông",,,"2014-09-19","Số 185 tổ dân phố 7 phường La Khê","false"
"00000000321","000000184","2023-12-28","Cục cảnh sát quản lý về trật tự xã hội","Hòa Sheridan",,"1965-03-13","Tuyên Quang","Quảng Ngãi","Mường",,,"2022-08-12","Số 185 tổ dân phố 7 phường La Khê","false"
"00000000322","000000185","2024-03-04","Cục cảnh sát quản lý về trật tự xã hội","Ngọc Eusebio",,"1966-04-22","Khánh Hòa","TP Cần Thơ","Khmer",,,"2012-08-02","Số 186 tổ dân phố 7 phường La Khê","false"
"00000000323","000000185","2023-03-04","Cục cảnh sát quản lý về trật tự xã hội","Ngọc Tăng",,"1987-10-27","Hà Nội","Hà Nội","Khmer",,,"2021-10-15","Số 186 tổ dân phố 7 phường La Khê","false"
"00000000324","000000186","2022-10-10","Cục cảnh sát quản lý về trật tự xã hội","Trung Jody",,"1964-03-20","Hòa Bình","Phú Yên","H'Mông",,,"2006-09-28","Số 187 tổ dân phố 7 phường La Khê","false"
"00000000325","000000186","2022-02-16","Cục cảnh sát quản lý về trật tự xã hội","Đoàn Jacki",,"1965-01-30","Trà Vinh","Ninh Thuận","Gia Rai",,,"2007-05-15","Số 187 tổ dân phố 7 phường La Khê","false"
"00000000326","000000186","2023-02-22","Cục cảnh sát quản lý về trật tự xã hội","Trung Bùi",,"1987-02-03","Hà Nội","Hà Nội","H'Mông",,,"2024-11-21","Số 187 tổ dân phố 7 phường La Khê","false"
"00000000327","000000187","2024-05-18","Cục cảnh sát quản lý về trật tự xã hội","Triệu Wilmer",,"1951-11-03","Thừa Thiên Huế","An Giang","Gia Rai",,,"2024-07-31","Số 188 tổ dân phố 7 phường La Khê","false"
"00000000328","000000187","2024-12-17","Cục cảnh sát quản lý về trật tự xã hội","Triệu Lê",,"1974-01-27","Hà Nội","Hà Nội","Gia Rai",,,"2024-09-03","Số 188 tổ dân phố 7 phường La Khê","false"
"00000000329","000000188","2022-07-11","Cục cảnh sát quản lý về trật tự xã hội","Nhàn Bobbie",,"1986-04-13","Bình Phước","Quảng Trị","Gia Rai",,,"2011-10-22","Số 189 tổ dân phố 7 phường La Khê","false"
"00000000330","000000188","2023-01-29","Cục cảnh sát quản lý về trật tự xã hội","Đào Samantha",,"1987-04-05","Tuyên Quang","Hà Tây","Gia Rai",,,"2013-01-01","Số 189 tổ dân phố 7 phường La Khê","false"
"00000000331","000000189","2022-01-31","Cục cảnh sát quản lý về trật tự xã hội","Phạm Dale",,"1961-05-31","TP Cần Thơ","Bắc Giang","Thái",,,"2021-02-14","Số 190 tổ dân phố 7 phường La Khê","false"
"00000000332","000000189","2024-04-25","Cục cảnh sát quản lý về trật tự xã hội","Nhàn Malika",,"1961-07-18","Vĩnh Phúc","Hà Giang","Tày",,,"2022-07-05","Số 190 tổ dân phố 7 phường La Khê","false"
"00000000333","000000190","2022-09-26","Cục cảnh sát quản lý về trật tự xã hội","Vương Vance",,"1984-02-29","Bình Dương","Đắk Lắk","Thái",,,"2015-09-27","Số 191 tổ dân phố 7 phường La Khê","false"
"00000000334","000000190","2023-12-29","Cục cảnh sát quản lý về trật tự xã hội","Vương Hồ",,"2006-03-23","Hà Nội","Hà Nội","Thái",,,"2018-12-10","Số 191 tổ dân phố 7 phường La Khê","true"
"00000000335","000000191","2024-07-15","Cục cảnh sát quản lý về trật tự xã hội","Thị Ty",,"1966-05-07","TP Cần Thơ","Hà Giang","Ê Đê",,,"2014-08-03","Số 192 tổ dân phố 7 phường La Khê","false"
"00000000336","000000192","2023-08-26","Cục cảnh sát quản lý về trật tự xã hội","Hữu Jeffery",,"1950-05-13","Hà Tây","Cà Mau","Gia Rai",,,"2021-07-26","Số 193 tổ dân phố 7 phường La Khê","false"
"00000000337","000000192","2024-10-18","Cục cảnh sát quản lý về trật tự xã hội","Hữu Đỗ",,"1970-12-30","Hà Nội","Hà Nội","Gia Rai",,,"2022-12-28","Số 193 tổ dân phố 7 phường La Khê","false"
"00000000338","000000193","2023-03-13","Cục cảnh sát quản lý về trật tự xã hội","Nhân Bryan",,"1960-11-12","Thái Nguyên","Vĩnh Phúc","H'Mông",,,"2019-08-12","Số 194 tổ dân phố 7 phường La Khê","false"
"00000000339","000000193","2024-04-12","Cục cảnh sát quản lý về trật tự xã hội","Hồ Marni",,"1961-06-02","Bình Định","Bình Phước","Ê Đê",,,"2024-07-26","Số 194 tổ dân phố 7 phường La Khê","false"
"00000000340","000000193","2022-02-07","Cục cảnh sát quản lý về trật tự xã hội","Nhân Trịnh",,"1983-08-30","Hà Nội","Hà Nội","H'Mông",,,"2024-09-13","Số 194 tổ dân phố 7 phường La Khê","true"
"00000000341","000000194","2022-10-03","Cục cảnh sát quản lý về trật tự xã hội","Hữu Calvin",,"1999-08-18","Tiền Giang","Quảng Ngãi","Gia Rai",,,"2002-01-05","Số 195 tổ dân phố 7 phường La Khê","false"
"00000000342","000000194","2023-05-19","Cục cảnh sát quản lý về trật tự xã hội","Hữu Phùng",,"2023-05-19","Hà Nội","Hà Nội","Gia Rai",,,"2024-11-23","Số 195 tổ dân phố 7 phường La Khê","true"
"00000000343","000000195","2023-06-09","Cục cảnh sát quản lý về trật tự xã hội","Vũ Scott",,"1982-01-19","Bạc Liêu","Thái Bình","Kinh",,,"2006-09-16","Số 196 tổ dân phố 7 phường La Khê","false"
"00000000344","000000195","2023-05-28","Cục cảnh sát quản lý về trật tự xã hội","Vũ Vương",,"2004-10-07","Hà Nội","Hà Nội","Kinh",,,"2016-07-14","Số 196 tổ dân phố 7 phường La Khê","false"
"00000000345","000000196","2023-06-08","Cục cảnh sát quản lý về trật tự xã hội","Thị Jermaine",,"1994-02-22","Tiền Giang","Vĩnh Long","Thái",,,"2002-05-08","Số 197 tổ dân phố 7 phường La Khê","false"
"00000000346","000000196","2024-11-25","Cục cảnh sát quản lý về trật tự xã hội","Dương Herma",,"1994-11-17","Bình Định","Thừa Thiên Huế","Dao",,,"2017-08-15","Số 197 tổ dân phố 7 phường La Khê","true"
"00000000347","000000196","2024-11-08","Cục cảnh sát quản lý về trật tự xã hội","Thị Phan",,"2015-06-20","Hà Nội","Hà Nội","Thái",,,"2022-01-26","Số 197 tổ dân phố 7 phường La Khê","false"
"00000000348","000000197","2023-07-10","Cục cảnh sát quản lý về trật tự xã hội","Đặng Clayton",,"1954-06-01","Quảng Bình","Phú Yên","Dao",,,"2017-08-06","Số 198 tổ dân phố 7 phường La Khê","false"
"00000000349","000000197","2022-12-24","Cục cảnh sát quản lý về trật tự xã hội","Phong Debora",,"1954-12-24","Sơn La","Quảng Ninh","Hoa",,,"2021-06-07","Số 198 tổ dân phố 7 phường La Khê","false"
"00000000350","000000198","2024-11-27","Cục cảnh sát quản lý về trật tự xã hội","Hiền Zane",,"1963-03-28","Yên Bái","Kon Tum","Dao",,,"2020-08-25","Số 199 tổ dân phố 7 phường La Khê","false"
"00000000351","000000198","2023-06-21","Cục cảnh sát quản lý về trật tự xã hội","Minh Donita",,"1964-01-14","Hà Tây","Vĩnh Phúc","H'Mông",,,"2024-06-04","Số 199 tổ dân phố 7 phường La Khê","false"
"00000000352","000000198","2024-02-13","Cục cảnh sát quản lý về trật tự xã hội","Hiền Nguyễn",,"1984-02-15","Hà Nội","Hà Nội","Dao",,,"2024-08-21","Số 199 tổ dân phố 7 phường La Khê","false"
"00000000353","000000199","2023-08-01","Cục cảnh sát quản lý về trật tự xã hội","Hòa Willy",,"1974-12-05","Khánh Hòa","TP Đà Nẵng","Dao",,,"2022-11-19","Số 200 tổ dân phố 7 phường La Khê","false"
"00000000354","000000199","2023-12-31","Cục cảnh sát quản lý về trật tự xã hội","Như Cheryl",,"1975-07-03","Kon Tum","Quảng Trị","Ê Đê",,,"2024-05-03","Số 200 tổ dân phố 7 phường La Khê","false"
"00000000355","000000199","2022-07-26","Cục cảnh sát quản lý về trật tự xã hội","Hòa Hoàng",,"1995-07-10","Hà Nội","Hà Nội","Dao",,,"2024-09-16","Số 200 tổ dân phố 7 phường La Khê","false"
"00000000356","000000200","2024-03-06","Cục cảnh sát quản lý về trật tự xã hội","Thắng Angelo",,"1995-10-13","Bà Rịa Vũng Tàu","Đồng Tháp","Thái",,,"2019-12-31","Số 201 tổ dân phố 7 phường La Khê","false"
"00000000357","000000201","2022-11-13","Cục cảnh sát quản lý về trật tự xã hội","Bùi Neil",,"1976-02-22","Quảng Nam","Lai Châu","Khmer",,,"2007-02-24","Số 202 tổ dân phố 7 phường La Khê","false"
"00000000358","000000201","2024-05-03","Cục cảnh sát quản lý về trật tự xã hội","Phan Tabitha",,"1976-08-14","Nghệ An","Nghệ An","Mường",,,"2012-04-24","Số 202 tổ dân phố 7 phường La Khê","false"
"00000000359","000000202","2023-10-16","Cục cảnh sát quản lý về trật tự xã hội","Trương Wade",,"1981-02-02","Đồng Tháp","Bạc Liêu","Gia Rai",,,"1995-08-20","Số 203 tổ dân phố 7 phường La Khê","false"
"00000000360","000000202","2022-01-29","Cục cảnh sát quản lý về trật tự xã hội","Trương Trương",,"2001-09-03","Hà Nội","Hà Nội","Gia Rai",,,"2023-07-02","Số 203 tổ dân phố 7 phường La Khê","false"
"00000000361","000000202","2022-11-29","Cục cảnh sát quản lý về trật tự xã hội","Trương Lê",,"2004-06-24","Hà Nội","Hà Nội","Gia Rai",,,"2024-10-23","Số 203 tổ dân phố 7 phường La Khê","false"
"00000000362","000000203","2024-04-23","Cục cảnh sát quản lý về trật tự xã hội","Nam Robert",,"1989-07-11","TP Đà Nẵng","Gia Lai","Kinh",,,"1994-02-22","Số 204 tổ dân phố 7 phường La Khê","false"
"00000000363","000000203","2022-08-05","Cục cảnh sát quản lý về trật tự xã hội","Nam Hà",,"2012-08-24","Hà Nội","Hà Nội","Kinh",,,"2024-11-26","Số 204 tổ dân phố 7 phường La Khê","false"
"00000000364","000000204","2023-03-03","Cục cảnh sát quản lý về trật tự xã hội","Vân Franklyn",,"1981-11-02","Bình Dương","Yên Bái","Kinh",,,"2019-03-05","Số 205 tổ dân phố 7 phường La Khê","false"
"00000000365","000000204","2023-11-12","Cục cảnh sát quản lý về trật tự xã hội","Vân Trương",,"2005-05-17","Hà Nội","Hà Nội","Kinh",,,"2024-12-24","Số 205 tổ dân phố 7 phường La Khê","true"
"00000000366","000000205","2023-05-16","Cục cảnh sát quản lý về trật tự xã hội","Hoàng Eusebio",,"1956-07-09","Bình Dương","Điện Biên","Khmer",,,"2008-02-24","Số 206 tổ dân phố 7 phường La Khê","false"
"00000000367","000000205","2024-11-25","Cục cảnh sát quản lý về trật tự xã hội","Tăng Jeneva",,"1957-05-14","Đồng Tháp","Sóc Trăng","Tày",,,"2018-06-26","Số 206 tổ dân phố 7 phường La Khê","false"
"00000000368","000000206","2023-11-03","Cục cảnh sát quản lý về trật tự xã hội","Phong Elwood",,"1980-02-27","Bắc Ninh","Tây Ninh","Khmer",,,"2016-08-30","Số 207 tổ dân phố 7 phường La Khê","false"
"00000000369","000000206","2023-08-02","Cục cảnh sát quản lý về trật tự xã hội","Thị Krysten",,"1980-03-28","Kiên Giang","Hà Tĩnh","Khmer",,,"2017-11-22","Số 207 tổ dân phố 7 phường La Khê","false"
"00000000370","000000206","2023-02-21","Cục cảnh sát quản lý về trật tự xã hội","Phong Bùi",,"2000-11-06","Hà Nội","Hà Nội","Khmer",,,"2019-06-13","Số 207 tổ dân phố 7 phường La Khê","true"
"00000000371","000000206","2022-01-11","Cục cảnh sát quản lý về trật tự xã hội","Phong Lê",,"2002-06-13","Hà Nội","Hà Nội","Khmer",,,"2021-12-31","Số 207 tổ dân phố 7 phường La Khê","false"
"00000000372","000000207","2024-06-15","Cục cảnh sát quản lý về trật tự xã hội","Như Ashley",,"1996-12-20","Trà Vinh","Quảng Nam","Ê Đê",,,"2007-05-05","Số 208 tổ dân phố 7 phường La Khê","false"
"00000000373","000000208","2024-05-01","Cục cảnh sát quản lý về trật tự xã hội","Long Mark",,"1959-03-09","Hưng Yên","Vĩnh Phúc","Thái",,,"1996-11-17","Số 209 tổ dân phố 7 phường La Khê","false"
